22,25
22,24
21,23
22,23
23,23
20,22
21,22
24,22
25,22
19,21
25,21
26,21
19,20
26,20
27,20
19,19
27,19
19,18
26,18
18,17
19,17
25,17
15,16
16,16
17,16
18,16
25,16
13,15
14,15
25,15
12,14
25,14
11,13
10,12
15,12
24,12
10,11
16,11
24,11
10,10
17,10
20,10
23,10
10,9
17,9
20,9
23,9
5,8
6,8
10,8
17,8
20,8
23,8
5,7
10,7
17,7
18,7
19,7
20,7
23,7
4,6
10,6
20,6
24,6
4,5
5,5
10,5
20,5
21,5
24,5
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
