22,25
23,25
21,24
24,24
20,23
25,23
19,22
20,22
25,22
15,21
19,21
25,21
15,20
19,20
25,20
12,19
15,19
18,19
25,19
13,18
14,18
15,18
16,18
18,18
25,18
14,17
16,17
17,17
24,17
6,16
7,16
8,16
9,16
10,16
14,16
17,16
25,16
5,15
12,15
13,15
14,15
15,15
17,15
26,15
4,14
15,14
18,14
27,14
4,13
16,13
19,13
27,13
5,12
16,12
19,12
27,12
5,11
17,11
20,11
26,11
6,10
7,10
8,10
18,10
20,10
21,10
25,10
26,10
9,9
10,9
18,9
21,9
22,9
23,9
24,9
10,8
18,8
19,8
20,8
21,8
11,7
18,7
11,6
17,6
12,5
16,5
17,5
13,4
14,4
15,4
