110,125,50
110,120,50
115,120,50
105,115,50
110,115,50
115,115,50
120,115,50
100,110,50
105,110,50
110,110,50
115,110,50
120,110,50
125,110,50
95,105,50
100,105,50
125,105,50
130,105,50
95,100,50
130,100,50
135,100,50
95,95,50
130,95,50
135,95,50
95,90,50
125,90,50
130,90,50
90,85,50
95,85,50
125,85,50
70,80,50
75,80,50
80,80,50
85,80,50
90,80,50
125,80,50
60,75,50
65,75,50
70,75,50
75,75,50
125,75,50
55,70,50
60,70,50
120,70,50
125,70,50
55,65,50
120,65,50
125,65,50
50,60,50
55,60,50
70,60,50
75,60,50
80,60,50
120,60,50
50,55,50
80,55,50
85,55,50
115,55,50
120,55,50
50,50,50
85,50,50
100,50,50
115,50,50
50,45,50
85,45,50
100,45,50
115,45,50
25,40,50
30,40,50
35,40,50
50,40,50
85,40,50
100,40,50
115,40,50
20,35,50
25,35,50
50,35,50
85,35,50
90,35,50
95,35,50
100,35,50
115,35,50
120,35,50
20,30,50
50,30,50
95,30,50
100,30,50
120,30,50
20,25,50
25,25,50
50,25,50
100,25,50
105,25,50
120,25,50
125,25,50
25,20,50
30,20,50
35,20,50
40,20,50
45,20,50
50,20,50
55,20,50
60,20,50
65,20,50
70,20,50
75,20,50
80,20,50
85,20,50
90,20,50
95,20,50
100,20,50
105,20,50
110,20,50
115,20,50
120,20,50
